camera,lat,long,lodge_distance,lodge_distance_directional
CROP10,54.3041,-0.81901,-50,50
CROP09,54.30435,-0.81844,0,0
CROP08,54.30459,-0.81789,45,45
CROP07,54.30468,-0.81746,75,75
CROP06,54.305,-0.81579,200,200
CROP05,54.3052,-0.81322,400,400
CROP04,54.30564,-0.81155,585,585
CROP03,54.30598,-0.81187,630,630
CROP02,54.30624,-0.80978,725,725
CROP01,54.3058,-0.811,625,625
CROP11,54.30409,-0.81992,-120,120
CROP12,54.30371,-0.82961,-950,950
CROP13,54.3018,-0.84197,-2160,2160
CROP14,54.2957,-0.8457,-3260,3260